age,ridge_length,ridge_vel_mean,ridge_vel_std,ridge_surface_area,subduction_length,subduction_vel_mean,subduction_vel_std,subduction_surface_area,age_mean,age_std,accretion_mean,accretion_std,slab_dip_mean,slab_dip_std,min_continental_arc_length,mean_continental_arc_length,max_continental_arc_length,min_carb_plat_continental_arc_length,mean_carb_plat_continental_arc_length,max_carb_plat_continental_arc_length,min_combined_arc_length,mean_combined_arc_length,max_combined_arc_length,global_age_mean,global_age_std
170,63172.47631680657,6.534727594893802,4.154465016301974,4.128669146596048,76632.2897326698,5.120960994933858,3.640977150866304,4.314878014833783,68.36190236441304,48.954793257975254,9.876700029800837,21.417512652154723,29.158503323248947,6.625372140016401,24686.060824483207,29073.712143585737,32101.151296389944,7558.103280870681,9578.213970865569,11214.683969544652,7558.103280870681,9578.213970865569,11214.683969544652,69.02949523925781,54.89655685424805
169,63172.47631680657,6.534727594893802,4.154465016301974,4.128669146596048,76632.2897326698,5.120960994933858,3.640977150866304,4.314878014833783,68.36190236441304,48.954793257975254,9.876700029800837,21.417512652154723,29.158503323248947,6.625372140016401,24686.060824483207,29073.712143585737,32101.151296389944,7558.103280870681,9578.213970865569,11214.683969544652,7558.103280870681,9578.213970865569,11214.683969544652,69.02949523925781,54.89655685424805
168,63172.47631680657,6.534727594893802,4.154465016301974,4.128669146596048,75488.88082810355,5.120960994933858,3.640977150866304,4.314878014833783,68.36190236441304,48.954793257975254,9.876700029800837,21.417512652154723,29.158503323248947,6.625372140016401,24686.060824483207,28975.438416467445,32101.151296389944,7387.055780951696,9578.213970865569,11214.683969544652,7387.055780951696,9578.213970865569,11214.683969544652,69.02949523925781,54.89655685424805
167,63172.47631680657,6.534727594893802,4.154465016301974,4.128669146596048,75488.88082810355,5.120960994933858,3.640977150866304,4.314878014833783,68.89424303677076,49.06235473611906,11.751778443161937,21.417512652154723,29.698927122390966,6.625372140016401,24688.566772760772,28975.438416467445,32178.739004097297,7372.513558130795,9510.356980600693,10960.216211803734,7372.513558130795,9510.356980600693,10960.216211803734,69.31282043457031,55.07831573486328
166,62780.34661891572,6.229255900870875,3.9370308459339114,3.795072402221572,75532.68517076503,4.802197664662471,3.2035106378814944,3.9870104566213485,69.0976299965102,49.13985944457503,12.189127645419864,18.844180222832318,29.77394063930029,6.549381008790354,24731.082207020445,28941.027207980977,32304.758580163885,7387.055780951696,9510.356980600693,10960.216211803734,7387.055780951696,9510.356980600693,10960.216211803734,69.51676177978516,55.19818115234375
165,62770.45120630056,6.210255184382309,3.9304887718450954,3.792764983825441,75612.78920024118,4.740721642246539,3.1984000004097632,3.9830364755521384,69.87136204630929,49.29560133574438,12.189127645419864,18.814117649469196,29.821962515654366,6.549381008790354,24844.41729498875,28941.027207980977,32317.06094828529,7558.103280870681,9510.356980600693,10960.216211803734,7558.103280870681,9510.356980600693,10960.216211803734,69.73614501953125,55.34112548828125
164,62722.733009737836,6.171943383559085,3.9027736957933676,3.7739158949867857,75770.31738818382,4.727848300278623,3.191618400225691,3.966009889769118,70.57555372779152,49.52048557643432,12.225771524399347,18.774225883680533,30.170471425019656,6.549381008790354,24851.96026751849,28941.027207980977,32408.35469033957,7688.889344747405,9510.356980600693,10960.216211803734,7688.889344747405,9510.356980600693,10960.216211803734,70.03155517578125,55.49372100830078
163,62481.05378080441,6.171943383559085,3.520371962533374,3.7739158949867857,76632.2897326698,4.721618840852111,3.191618400225691,3.966009889769118,71.1832109408932,49.69171708970452,12.235371137501442,18.774225883680533,30.170471425019656,6.549381008790354,24929.964826149317,28941.027207980977,32994.96815761333,7692.317361710165,9510.356980600693,10960.216211803734,7692.317361710165,9510.356980600693,10960.216211803734,70.29515838623047,55.65036392211914
162,62457.91523721399,6.171943383559085,3.5097625326954396,3.7739158949867857,76632.2897326698,4.719986906624756,3.191618400225691,3.966009889769118,71.71433532787577,49.88085777221682,12.25353841612707,18.774225883680533,30.170471425019656,6.549381008790354,25077.108018074796,28941.027207980977,33110.22082983141,7750.0368701379075,9680.383523589868,11052.41461744656,7750.0368701379075,9680.383523589868,11052.41461744656,70.55705261230469,55.769744873046875
161,62299.66928094183,6.171943383559085,3.4206363869920793,3.7739158949867857,76632.2897326698,4.7168984692584,3.191618400225691,3.966009889769118,72.16390052253549,50.129094349751284,12.461400686937264,18.774225883680533,30.170471425019656,6.690185658060512,28840.70731803786,34025.34515653714,39250.97831166287,8934.063389714845,11127.142618070822,12687.91437205618,8934.063389714845,11127.142618070822,12687.91437205618,70.78702545166016,55.917999267578125
