# Age_Ma	SL_envelope_m
0.000	-4.620
0.100	-5.161
0.200	-5.703
0.300	-6.244
0.400	-7.176
0.500	-7.965
0.600	-8.641
0.700	-9.227
0.800	-10.334
0.900	-11.458
1.000	-12.509
1.100	-13.104
1.200	-13.604
1.300	-13.948
1.400	-13.974
1.500	-13.901
1.600	-13.755
1.700	-13.245
1.800	-12.325
1.900	-10.979
2.000	-9.176
2.100	-7.372
2.200	-5.386
2.300	-3.401
2.400	-1.326
2.500	0.749
2.600	2.440
2.700	4.108
2.800	5.692
2.900	7.031
3.000	8.341
3.100	9.652
3.200	10.671
3.300	11.352
3.400	11.992
3.500	12.174
3.600	12.357
3.700	12.357
3.800	12.357
3.900	12.230
4.000	12.103
4.100	11.854
4.200	11.579
4.300	11.171
4.400	10.762
4.500	10.347
4.600	9.932
4.700	9.436
4.800	8.848
4.900	8.261
5.000	7.673
5.100	7.086
5.200	6.498
5.300	5.910
5.400	5.340
5.500	4.879
5.600	4.394
5.700	3.933
5.800	3.580
5.900	3.227
6.000	2.881
6.100	2.534
6.200	2.269
6.300	2.095
6.400	1.921
6.500	1.747
6.600	1.573
6.700	1.399
6.800	1.225
6.900	1.161
7.000	0.987
7.100	0.961
7.200	0.934
7.300	0.934
7.400	0.819
7.500	0.591
7.600	0.210
7.700	-0.378
7.800	-1.005
7.900	-1.632
8.000	-2.260
8.100	-2.848
8.200	-3.436
8.300	-3.510
8.400	-3.183
8.500	-2.856
8.600	-2.529
8.700	-2.201
8.800	-1.804
8.900	-1.293
9.000	-0.536
9.100	0.374
9.200	1.490
9.300	2.646
9.400	3.802
9.500	4.958
9.600	6.074
9.700	7.191
9.800	7.884
9.900	8.352
10.000	8.867
10.100	9.496
10.200	10.223
10.300	11.165
10.400	12.630
10.500	14.022
10.600	15.447
10.700	16.873
10.800	18.298
10.900	19.723
11.000	21.149
11.100	22.574
11.200	23.999
11.300	25.334
11.400	26.493
11.500	27.604
11.600	28.602
11.700	29.501
11.800	30.116
11.900	30.208
12.000	30.241
12.100	30.241
12.200	30.641
12.300	31.238
12.400	32.235
12.500	33.232
12.600	34.259
12.700	35.286
12.800	36.468
12.900	37.839
13.000	39.559
13.100	41.294
13.200	43.175
13.300	45.219
13.400	47.318
13.500	49.480
13.600	51.641
13.700	53.402
13.800	54.967
13.900	56.131
14.000	57.296
14.100	58.430
14.200	59.565
14.300	60.544
14.400	61.334
14.500	61.776
14.600	62.202
14.700	62.483
14.800	62.614
14.900	62.691
15.000	62.705
15.100	62.719
15.200	62.733
15.300	62.748
15.400	62.762
15.500	62.637
15.600	62.481
15.700	62.325
15.800	62.169
15.900	62.013
16.000	61.856
16.100	61.700
16.200	61.544
16.300	61.373
16.400	61.203
16.500	61.032
16.600	60.862
16.700	60.691
16.800	60.253
16.900	59.711
17.000	59.200
17.100	58.544
17.200	57.361
17.300	56.122
17.400	54.734
17.500	53.346
17.600	51.958
17.700	50.526
17.800	49.024
17.900	47.145
18.000	45.266
18.100	43.327
18.200	41.138
18.300	39.218
18.400	37.513
18.500	35.916
18.600	34.633
18.700	33.877
18.800	33.177
18.900	32.626
19.000	32.074
19.100	31.523
19.200	30.879
19.300	30.305
19.400	30.107
19.500	29.910
19.600	29.773
19.700	29.885
19.800	30.134
19.900	30.299
20.000	30.463
20.100	30.490
20.200	30.517
20.300	30.544
20.400	30.571
20.500	30.598
20.600	30.625
20.700	30.700
20.800	30.954
20.900	31.207
21.000	31.461
21.100	31.886
21.200	32.312
21.300	32.601
21.400	32.862
21.500	33.124
21.600	33.385
21.700	33.647
21.800	33.908
21.900	34.177
22.000	34.446
22.100	35.076
22.200	35.907
22.300	36.686
22.400	37.617
22.500	38.548
22.600	39.306
22.700	40.121
22.800	40.935
22.900	41.866
23.000	42.798
23.100	43.730
23.200	44.661
23.300	45.593
23.400	46.517
23.500	47.566
23.600	48.254
23.700	48.829
23.800	49.279
23.900	49.576
24.000	49.874
24.100	50.171
24.200	50.414
24.300	50.656
24.400	50.679
24.500	50.703
24.600	50.726
24.700	50.749
24.800	50.749
24.900	50.749
25.000	50.545
25.100	50.340
25.200	50.136
25.300	49.932
25.400	49.629
25.500	49.327
25.600	49.023
25.700	48.487
25.800	47.914
25.900	47.441
26.000	46.969
26.100	46.426
26.200	45.883
26.300	45.364
26.400	44.505
26.500	43.706
26.600	42.906
26.700	41.916
26.800	40.645
26.900	39.435
27.000	38.124
27.100	36.815
27.200	35.738
27.300	34.698
27.400	33.658
27.500	32.618
27.600	31.649
27.700	30.738
27.800	29.845
27.900	29.353
28.000	28.993
28.100	28.634
28.200	28.465
28.300	28.576
28.400	28.725
28.500	29.189
28.600	29.653
28.700	30.116
28.800	30.580
28.900	31.043
29.000	31.507
29.100	31.971
29.200	32.377
29.300	32.764
29.400	33.089
29.500	33.303
29.600	33.517
29.700	33.744
29.800	33.971
29.900	34.198
30.000	34.211
30.100	34.097
30.200	33.984
30.300	33.968
30.400	33.953
30.500	33.966
30.600	33.950
30.700	33.935
30.800	33.920
30.900	33.904
31.000	33.889
31.100	33.873
31.200	33.845
31.300	33.816
31.400	33.788
31.500	33.759
31.600	33.858
31.700	33.956
31.800	33.891
31.900	33.825
32.000	33.797
32.100	34.402
32.200	35.616
32.300	37.602
32.400	40.308
32.500	43.919
32.600	48.313
32.700	52.913
32.800	57.513
32.900	62.112
33.000	66.712
33.100	71.312
33.200	75.912
33.300	80.577
33.400	85.242
33.500	89.842
33.600	93.836
33.700	97.223
33.800	99.836
33.900	101.730
34.000	102.719
34.100	102.924
34.200	102.924
34.300	102.924
34.400	102.924
34.500	102.924
34.600	102.604
34.700	101.926
34.800	101.031
34.900	100.134
35.000	99.195
35.100	98.110
35.200	96.919
35.300	95.704
35.400	94.455
35.500	93.179
35.600	91.803
35.700	90.379
35.800	88.937
35.900	87.452
36.000	85.950
36.100	84.762
36.200	83.909
36.300	82.972
36.400	81.792
36.500	80.623
36.600	79.588
36.700	78.660
36.800	77.755
36.900	76.884
37.000	76.041
37.100	75.296
37.200	74.613
37.300	73.957
37.400	73.687
37.500	73.446
37.600	73.267
37.700	73.257
37.800	73.660
37.900	74.461
