,outflux,outflux,outflux,influx,influx,influx,cumulative_outflux,cumulative_outflux,cumulative_outflux,cumulative_influx,cumulative_influx,cumulative_influx
,min,mean,max,min,mean,max,min,mean,max,min,mean,max
age,,,,,,,,,,,,
0,10.137169948000823,13.321974810342496,16.506779672684168,8.069990310561247,12.024431763510234,16.455346843274903,31.41916885312191,41.186381765871474,50.95359467862104,25.02288632505247,37.15043362902034,50.739238234949546
1,10.382621596227441,13.587303053344579,16.791984510461717,8.271312147427107,12.25043355212227,16.70900228959337,31.41916885312191,41.186381765871474,50.95359467862104,25.02288632505247,37.15043362902034,50.739238234949546
2,10.382621596227441,13.587303053344579,16.791984510461717,8.271312147427107,12.25043355212227,16.70900228959337,31.41916885312191,41.186381765871474,50.95359467862104,25.02288632505247,37.15043362902034,50.739238234949546
3,10.462230788021893,13.637921913100929,16.81361303817996,8.340275395275823,12.283400694808693,16.70900228959337,41.556338801122735,54.50835657621397,67.4603743513052,33.09287663561371,49.17486539253058,67.19458507822445
4,10.473164142400222,13.637921913100929,16.81361303817996,8.353656131690421,12.283400694808693,16.70900228959337,51.540227184168,67.62702356057497,83.71381993698192,41.041036147367954,61.01535080262755,83.39638566355659
5,10.473164142400222,13.637921913100929,16.81361303817996,8.353656131690421,12.283400694808693,16.70900228959337,62.62902395820908,81.82793524289234,101.02684652757559,49.907056380161976,73.74555635652149,100.456375136112
6,10.473164142400222,13.637921913100929,16.81361303817996,8.353656131690421,12.283400694808693,16.70900228959337,73.47655447058521,95.92962780155636,118.38270113252752,58.558466943500775,86.43752634082038,117.67575458696552
7,10.587971794871455,13.759209940144117,16.93044808541678,8.444923865793104,12.382520083106943,16.7945602321169,83.93878525860711,109.56754971465729,135.19631417070747,66.8987423387766,98.72092703562907,134.377390716281
8,10.84753051237613,14.10169255866403,17.313026590593662,8.651410563338796,12.691969984298893,17.059989472555422,94.41194940100733,123.174643373221,151.93733734543468,75.25239847046703,110.96585479148588,150.98245234290766
9,11.088796774041079,14.200911682317372,17.355854604951926,8.866020232794025,12.730205553893937,17.07703270526749,104.99992119587878,136.93385331336512,168.86778543085146,83.69732233626013,123.34837487459282,167.77701257502457
10,11.264242816187673,14.325623501088334,17.387004185988996,9.01664293734294,12.817833656050707,17.219379450853527,116.97410428932525,152.1395860529084,187.30506781649154,93.28460532046492,136.94814039073896,185.8727276632178
11,11.326689822804214,14.43638081136005,17.546071799915886,9.063386741393334,12.924562380884637,17.250973979135374,128.30079411212947,166.57596686426845,204.85113961640744,102.34799206185825,149.8727027716236,203.12370164235318
12,11.730859258414554,14.81404342058492,17.897227582755285,9.401020207364766,13.229283408708206,17.518816924368434,139.56503692831714,180.90159036535678,222.23814380239642,111.36463499920119,162.69053642767432,220.20073434762068
13,11.751179820400441,14.839505870174593,17.927831919948755,9.41732553129434,13.251973203387395,17.54866045948287,151.31621674871758,195.7410962355314,240.16597572234517,120.78196053049552,175.9425096310617,237.74939480710356
14,11.974183093446474,15.205732739543283,18.437282385640092,9.587282984204787,13.59976551614615,18.095715088193238,163.04707600713215,210.5551396561163,258.06320330510044,130.1829807378603,189.1717930397699,255.26821173147198
15,12.41027216771491,15.664985181691979,18.919698195669046,9.946224876753988,13.987468411675053,18.51564442159668,175.5141021368166,226.34242812052096,277.1707541042253,140.16944833538807,203.2808940728134,273.9966854054092
16,12.467026129684449,15.78728846440466,19.092555208791953,9.986467597527762,14.109101033043475,18.68102357897375,188.37687433910625,242.4332340474122,296.48959375571815,150.49337075135725,217.61293344534116,292.8197827631379
17,12.532338235882673,15.812446722337311,19.107550799124876,10.044739626342952,14.117515676888443,18.72847367393721,200.9092125749889,258.2456807697495,315.5821489645101,160.5381103777002,231.7304491222296,311.5008063421116
18,12.71169881407542,16.003901268676785,19.29610372327815,10.192104439453164,14.279897073757224,18.823097357728663,213.31948474270382,273.9106659514415,334.5018471601792,170.4843352544542,245.71791753390465,330.0164507637083
19,12.71169881407542,16.003901268676785,19.29610372327815,10.192104439453164,14.279897073757224,18.823097357728663,226.03118355677924,289.9145672201183,353.79795088345736,180.67643969390738,259.9978146076619,348.8766816827881
20,12.71169881407542,16.003901268676785,19.29610372327815,10.192104439453164,14.279897073757224,18.823097357728663,239.02572043721267,306.1570122560428,373.28830407487294,191.10748434092702,274.4616534761779,367.8592291836674
